DATE				SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat		SiteID	Lon	Lat
DD-HH				DAWS	-139.11	64.05		FSIM	-121.23	61.76		FSMI	-111.95	60.02		GILL	-94.64	56.38		MCMU	-111.21	56.66		RANK	-92.11	62.82		TALO	-93.55	69.54		WGRY	-120.03	51.88		BRD	-99.97	49.87		CBB	-105.03	69.12		FCC	-94.09	58.76		IQA	-68.52	63.75		MEA	-113.35	54.62		OTT	-75.55	45.4		RES	-94.89	74.69		STJ	-52.68	47.6		VIC	-123.42	48.52		

				max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			max(dB/dt)			
04-16				165.39				169.85				89.86				77.56				45.34				174.76				148.77				26.12				23.12				169.01				54.21				142.8				36.2				14.42				80.78				18.39				16.59		
04-17				124.94				104.16				50.54				57.64				25.41				106.97				201.0				20.35				15.87				217.76				38.53				115.43				23.25				12.46				91.29				12.79				13.94		
04-18				52.38				53.51				53.51				35.81				25.58				44.8				124.48				19.86				13.55				140.6				23.16				62.65				20.98				10.3				63.63				12.89				13.26		
04-19				47.19				50.32				50.32				50.2				28.12				64.88				140.76				23.87				17.7				126.58				32.9				83.81				24.17				11.17				97.64				13.93				18.41		
04-20				16.78				15.13				12.52				21.46				12.92				32.69				70.33				12.28				14.74				51.56				12.32				42.82				11.71				9.33				54.52				7.32				12.13		
04-21				53.67				67.56				52.29				79.4				32.06				124.92				143.25				18.74				19.33				137.76				51.02				84.2				25.25				17.76				76.3				12.48				11.28		
04-22				21.95				15.14				12.3				17.55				10.02				22.96				31.63				9.99				7.31				32.8				13.17				18.32				10.3				4.29				43.5				5.12				8.45		
04-23				17.77				18.96				13.04				13.04				9.13				11.97				29.5				8.52				5.93				22.99				9.74				17.68				7.72				4.41				27.63				4.62				7.93		
04-24				40.62				34.99				26.04				26.04				20.41				30.94				40.38				17.14				9.11				67.73				21.0				31.0				17.91				6.74				43.76				5.57				11.1		
05-01				33.61				25.58				21.8				37.21				19.11				63.54				39.77				15.78				17.01				54.17				32.48				80.91				17.77				18.79				33.28				31.87				14.33		
05-02				58.37				48.02				67.26				109.19				39.37				83.98				66.52				29.46				39.55				48.26				127.44				798.17				33.91				39.23				46.0				38.77				21.06		
05-03				40.62				31.69				38.23				85.94				31.53				316.67				78.51				21.32				28.61				42.97				133.78				597.42				26.04				24.45				39.17				21.28				15.45		
05-04				61.33				32.24				26.85				48.33				16.49				165.67				43.68				15.84				13.84				31.75				79.83				307.69				14.95				13.64				30.74				13.7				11.62		
05-05				39.08				61.79				88.79				174.63				43.7				162.5				34.71				16.2				18.48				36.91				199.42				122.82				25.17				15.44				36.71				17.96				10.45		
05-06				96.76				276.02				457.67				354.92				161.81				158.59				78.05				45.8				45.91				127.25				361.77				165.26				81.77				29.58				45.8				16.17				32.18		
05-07				53.36				138.12				204.77				125.0				61.32				261.66				23.94				20.91				21.66				21.97				127.28				74.96				32.13				12.1				22.86				12.39				14.22		
05-08				63.59				182.2				155.81				61.25				47.93				99.06				47.62				26.33				16.88				190.72				96.9				92.55				33.52				8.36				37.09				7.68				18.15		
05-09				67.16				138.68				138.68				43.06				24.47				52.76				40.45				20.24				19.08				55.48				56.05				121.09				17.99				15.16				35.81				12.78				17.52		
05-10				121.1				143.1				143.1				59.79				46.4				78.34				28.0				16.09				15.88				40.89				87.16				120.14				26.06				15.19				33.03				18.97				15.17		
05-11				145.24				143.76				85.67				66.73				34.89				106.69				48.5				14.14				12.74				39.6				90.69				154.97				21.04				14.74				41.18				20.14				10.13		
05-12				239.73				166.1				131.86				75.29				45.14				209.05				80.02				30.16				22.82				73.11				112.64				143.4				34.44				13.33				39.32				19.77				24.97		
05-13				138.07				132.41				116.07				90.92				47.61				332.62				201.52				24.05				20.86				166.48				107.26				246.66				32.41				33.33				78.5				31.15				18.54		
05-14				52.67				67.74				55.53				81.74				33.11				188.81				196.69				21.78				20.89				178.6				61.99				161.96				25.29				23.86				66.35				19.24				13.46		
05-15				56.42				68.49				68.49				105.94				41.02				375.33				183.08				26.43				33.45				132.58				95.72				167.81				36.46				26.69				69.1				23.8				18.12		
05-16				48.09				58.55				58.55				45.71				23.7				120.53				137.91				15.62				17.7				121.77				39.76				91.95				19.93				9.76				50.7				11.15				11.15		
05-17				29.79				36.67				34.85				41.99				23.8				67.21				137.54				18.19				13.44				123.9				31.31				62.72				20.2				11.12				51.74				12.22				14.18		
05-18				27.3				33.89				25.0				25.76				17.73				42.77				119.55				14.91				12.75				122.62				18.17				50.59				15.41				7.65				55.19				9.22				12.61		
05-19				38.67				47.13				31.42				48.67				20.47				91.44				186.43				15.38				14.28				206.49				29.6				82.98				17.75				11.72				87.51				10.82				9.69		
05-20				56.64				46.58				39.33				47.35				22.96				113.34				196.42				18.68				14.83				234.26				37.22				89.3				19.47				9.28				108.36				9.36				12.79		
05-21				38.42				48.66				39.02				75.56				28.72				84.99				150.54				18.59				16.53				150.45				41.01				82.49				25.25				12.74				104.32				12.16				11.01		
05-22				32.21				40.84				33.77				63.1				27.41				103.35				134.44				17.35				13.76				133.93				43.05				104.35				23.22				12.56				67.5				9.83				13.74		
05-23				45.27				47.45				41.29				63.79				35.92				80.88				65.53				24.9				22.61				102.98				42.77				130.72				31.65				20.82				60.68				30.95				17.04		
05-24				41.87				38.86				33.52				43.84				21.85				106.13				66.55				19.87				19.64				82.2				56.78				175.47				18.87				23.11				57.23				32.79				12.25		
06-01				33.56				27.96				27.96				22.29				14.87				61.72				34.84				10.54				7.4				57.48				24.0				84.1				13.87				7.58				27.41				7.65				10.2		
06-02				42.32				55.05				64.97				111.54				43.26				135.76				70.27				29.29				47.27				59.61				110.91				970.62				36.61				46.45				50.81				33.19				22.58		
06-03				57.88				77.55				91.3				91.3				53.52				416.29				78.07				37.71				49.25				46.0				144.53				651.22				42.66				44.64				68.45				24.46				27.36		
06-04				35.26				31.87				29.3				29.3				24.56				139.79				96.89				15.05				14.99				57.52				51.46				254.59				20.05				8.09				52.45				13.05				12.28		
06-05				29.62				13.08				11.42				14.95				6.79				26.91				21.52				6.03				4.85				15.05				21.71				33.71				6.12				4.38				19.08				5.43				4.31		
06-06				13.97				17.57				8.31				9.44				4.12				33.53				14.92				3.97				3.1				15.32				16.91				39.11				3.69				3.09				12.98				3.2				2.84		
06-07				13.74				32.68				33.82				18.14				9.98				23.12				11.03				5.68				4.82				11.93				32.0				23.53				6.36				3.78				10.27				3.77				3.83		
06-08				70.12				153.67				167.83				71.94				52.13				205.66				66.96				24.08				23.07				153.52				156.16				93.7				32.23				13.95				42.21				10.18				17.88		
06-09				142.43				295.86				213.54				88.28				75.15				157.11				64.93				34.17				31.99				100.18				135.76				79.8				50.55				18.29				51.85				13.24				27.16		
06-10				220.72				321.37				235.3				88.23				83.57				94.92				36.96				33.7				29.3				56.98				154.26				93.31				52.94				12.4				36.06				8.1				24.79		
06-11				106.08				47.11				40.54				25.91				20.5				63.55				23.84				13.04				9.24				22.03				32.81				73.05				15.19				10.15				20.22				13.62				7.94		
06-12				219.04				158.98				92.64				92.64				41.77				90.01				90.01				22.59				13.59				38.01				47.88				94.36				26.83				10.04				38.39				11.11				13.94		
06-13				138.61				105.38				105.38				40.01				30.55				56.33				56.33				13.62				15.03				42.91				43.78				48.02				19.6				15.61				30.1				12.4				10.75		
06-14				20.45				14.53				14.53				16.08				10.33				23.93				46.39				5.59				7.25				42.63				13.95				34.19				7.24				8.07				25.39				12.14				4.15		
06-15				9.91				11.04				11.04				19.12				9.51				20.85				56.34				6.59				10.88				49.1				15.57				29.12				8.07				10.33				34.65				13.15				5.13		
06-16				13.2				14.75				11.86				19.7				10.08				20.69				42.78				9.68				12.41				39.25				16.9				30.75				10.25				17.58				34.07				15.23				8.69		
06-17				18.26				22.32				23.58				22.72				18.39				28.4				56.31				15.66				18.37				53.89				22.81				25.78				16.57				12.99				58.44				14.48				12.16		
06-18				19.19				16.62				13.2				17.03				10.91				19.57				62.56				11.54				10.85				47.1				11.41				43.77				10.83				7.49				57.75				11.64				11.44		
06-19				19.76				21.46				19.63				16.5				16.73				20.1				48.64				16.81				9.21				44.53				13.98				30.68				16.32				9.47				55.81				12.01				14.47		
06-20				23.2				20.39				14.32				19.71				10.43				23.64				58.79				10.86				5.73				56.72				12.73				35.62				10.0				9.18				45.85				8.39				10.73		
06-21				15.84				10.47				11.26				18.01				10.65				16.16				49.52				9.37				12.11				31.81				13.08				27.48				10.28				6.05				46.89				3.19				10.6		
06-22				24.25				12.56				13.65				22.57				11.85				25.41				45.45				9.47				10.94				40.92				15.62				24.98				10.58				4.47				51.39				3.67				9.97		
06-23				15.15				11.05				11.05				12.38				8.94				14.47				30.62				8.09				4.68				28.7				9.69				14.99				8.6				2.82				26.72				2.87				8.63		
06-24				16.94				11.96				11.96				11.96				6.47				21.68				22.86				6.84				5.14				27.41				10.73				13.72				6.12				2.39				13.75				2.38				5.85		
07-01				28.86				24.89				18.42				25.4				12.79				30.36				23.22				10.82				8.0				40.45				14.93				18.5				12.73				4.87				19.19				4.34				7.73		
07-02				22.29				15.39				9.34				9.56				5.69				20.03				17.01				5.54				4.01				17.03				8.83				15.65				5.65				3.54				10.29				3.41				5.11		
07-03				11.17				9.41				6.06				9.7				4.34				14.87				12.44				5.52				2.87				12.13				6.81				30.02				3.72				3.47				9.99				5.12				3.05		
07-04				11.12				8.86				6.0				8.91				4.1				25.62				14.95				4.31				4.2				22.59				14.12				29.61				4.66				3.7				9.42				5.11				2.65		
07-05				15.48				15.99				17.26				43.47				10.85				90.17				20.31				7.71				10.04				17.06				56.91				111.1				8.14				8.04				12.63				8.98				4.56		
07-06				19.11				14.42				19.43				18.39				11.98				100.38				24.64				7.52				7.22				19.18				33.24				125.7				9.48				3.13				11.34				4.09				5.6		
07-07				12.21				19.26				24.96				20.19				9.17				41.84				17.22				5.7				5.21				20.88				41.05				66.21				6.58				5.29				14.38				7.54				4.28		
07-08				53.28				197.52				236.63				108.93				71.69				53.54				33.03				20.28				18.82				45.81				147.09				74.79				35.44				6.09				29.84				6.22				13.79		
